Percentage served,Time in ms
0,0.550
1,0.597
2,0.622
3,0.653
4,0.653
5,0.654
6,0.654
7,0.654
8,0.654
9,0.655
10,0.655
11,0.655
12,0.655
13,0.656
14,0.656
15,0.657
16,0.659
17,0.665
18,0.667
19,0.668
20,0.668
21,0.669
22,0.671
23,0.673
24,0.674
25,0.675
26,0.675
27,0.675
28,0.676
29,0.676
30,0.676
31,0.676
32,0.676
33,0.677
34,0.677
35,0.678
36,0.679
37,0.683
38,0.686
39,0.689
40,0.690
41,0.692
42,0.698
43,0.698
44,0.699
45,0.700
46,0.701
47,0.702
48,0.702
49,0.704
50,0.705
51,0.706
52,0.706
53,0.706
54,0.706
55,0.708
56,0.709
57,0.711
58,0.713
59,0.715
60,0.716
61,0.718
62,0.721
63,0.723
64,0.725
65,0.725
66,0.725
67,0.727
68,0.729
69,0.731
70,0.736
71,0.737
72,0.738
73,0.739
74,0.740
75,0.744
76,0.746
77,0.749
78,0.749
79,0.750
80,0.751
81,0.752
82,0.752
83,0.753
84,0.753
85,0.770
86,0.779
87,0.796
88,0.805
89,0.805
90,0.808
91,0.811
92,0.812
93,0.812
94,0.812
95,0.818
96,0.819
97,0.821
98,0.823
99,0.919
100,0.919
